Category,License,Dependency,Notes
Apache,ASF 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt),cglib # cglib-nodep # 3.2.4,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0),com.sksamuel.elastic4s # elastic4s-core_2.12 # 6.5.1,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0),com.sksamuel.elastic4s # elastic4s-http-streams_2.12 # 6.5.1,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0),com.sksamuel.elastic4s # elastic4s-http_2.12 # 6.5.1,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),joda-time # joda-time # 2.9.9,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),net.codingwell # scala-guice_2.12 # 4.2.3,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.fluentlenium # fluentlenium-core # 3.3.0,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.joda # joda-convert # 1.9.2,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.typelevel # macro-compat_2.12 # 1.1.1,
Apache,Apache 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt),com.google.code.gson # gson # 2.8.0,
Apache,Apache 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt),com.google.errorprone # error_prone_annotations # 2.1.3,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0)",com.typesafe # config # 1.3.3,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",com.typesafe.akka # akka-actor_2.12 # 2.5.21,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",com.typesafe.akka # akka-cluster-tools_2.12 # 2.5.21,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",com.typesafe.akka # akka-cluster_2.12 # 2.5.21,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",com.typesafe.akka # akka-protobuf_2.12 # 2.5.21,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",com.typesafe.akka # akka-remote_2.12 # 2.5.21,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",com.typesafe.akka # akka-slf4j_2.12 # 2.5.21,
