"module name","license","repository"
"@mrmlnc/readdir-enhanced@2.2.1","MIT","https://github.com/bigstickcarpet/readdir-enhanced"
"@nodelib/fs.stat@1.1.3","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@sindresorhus/is@0.7.0","MIT","https://github.com/sindresorhus/is"
"@types/q@1.5.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"abbrev@1.1.1","ISC","https://github.com/isaacs/abbrev-js"
"accepts@1.3.7","MIT","https://github.com/jshttp/accepts"
"acorn@2.6.4","MIT","https://github.com/ternjs/acorn"
"ajv@6.10.2","MIT","https://github.com/epoberezkin/ajv"
"alter@0.2.0","MIT","https://github.com/olov/alter"
"ansi-regex@2.1.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@2.2.1","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"arch@2.1.1","MIT","https://github.com/feross/arch"
"archive-type@4.0.0","MIT","https://github.com/kevva/archive-type"
"argparse@1.0.10","MIT","https://github.com/nodeca/argparse"
"arr-diff@4.0.0","MIT","https://github.com/jonschlinkert/arr-diff"
"arr-flatten@1.1.0","MIT","https://github.com/jonschlinkert/arr-flatten"
"arr-union@3.1.0","MIT","https://github.com/jonschlinkert/arr-union"
"array-find-index@1.0.2","MIT","https://github.com/sindresorhus/array-find-index"
"array-union@1.0.2","MIT","https://github.com/sindresorhus/array-union"
"array-uniq@1.0.3","MIT","https://github.com/sindresorhus/array-uniq"
"array-uniq@2.1.0","MIT","https://github.com/sindresorhus/array-uniq"
"array-unique@0.3.2","MIT","https://github.com/jonschlinkert/array-unique"
"arrify@1.0.1","MIT","https://github.com/sindresorhus/arrify"
"asn1@0.2.4","MIT","https://github.com/joyent/node-asn1"
"assert-plus@1.0.0","MIT","https://github.com/mcavage/node-assert-plus"
"assert@1.4.1","MIT","https://github.com/defunctzombie/commonjs-assert"
"assign-symbols@1.0.0","MIT","https://github.com/jonschlinkert/assign-symbols"
"async-limiter@1.0.1","MIT","https://github.com/strml/async-limiter"
"async@1.5.2","MIT","https://github.com/caolan/async"
"async@2.6.3","MIT","https://github.com/caolan/async"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"atob@2.1.2","(MIT OR Apache-2.0)","git://git.coolaj86.com/coolaj86/atob.js"
"autoprefixer@9.6.1","MIT","https://github.com/postcss/autoprefixer"
"aws-sign2@0.7.0","Apache-2.0","https://github.com/mikeal/aws-sign"
"aws4@1.8.0","MIT","https://github.com/mhart/aws4"
"balanced-match@1.0.0","MIT","https://github.com/juliangruber/balanced-match"
"base64-js@1.3.1","MIT","https://github.com/beatgammit/base64-js"
"base@0.11.2","MIT","https://github.com/node-base/base"
"basic-auth@2.0.1","MIT","https://github.com/jshttp/basic-auth"
"batch@0.6.1","MIT","https://github.com/visionmedia/batch"
"bcrypt-pbkdf@1.0.2","BSD-3-Clause","https://github.com/joyent/node-bcrypt-pbkdf"
"beeper@1.1.1","MIT","https://github.com/sindresorhus/beeper"
"bin-build@3.0.0","MIT","https://github.com/kevva/bin-build"
"bin-check@4.1.0","MIT","https://github.com/kevva/bin-check"
"bin-version-check@4.0.0","MIT","https://github.com/sindresorhus/bin-version-check"
"bin-version@3.1.0","MIT","https://github.com/sindresorhus/bin-version"
"bin-wrapper@4.1.0","MIT","https://github.com/kevva/bin-wrapper"
"bl@1.2.2","MIT","https://github.com/rvagg/bl"
"body@5.1.0","MIT","https://github.com/Raynos/body"
"boolbase@1.0.0","ISC","https://github.com/fb55/boolbase"
"bower-config@1.4.1","MIT","https://github.com/bower/bower/tree/master/packages/bower-config"
"brace-expansion@1.1.11","MIT","https://github.com/juliangruber/brace-expansion"
"braces@2.3.2","MIT","https://github.com/micromatch/braces"
"browserslist@4.7.0","MIT","https://github.com/browserslist/browserslist"
"buffer-alloc-unsafe@1.1.0","MIT","https://github.com/LinusU/buffer-alloc-unsafe"
"buffer-alloc@1.2.0","MIT","https://github.com/LinusU/buffer-alloc"
"buffer-crc32@0.2.13","MIT","https://github.com/brianloveswords/buffer-crc32"
"buffer-fill@1.0.0","MIT","https://github.com/LinusU/buffer-fill"
"buffer-from@1.1.1","MIT","https://github.com/LinusU/buffer-from"
"buffer@5.4.3","MIT","https://github.com/feross/buffer"
"bytes@1.0.0","MIT*","https://github.com/visionmedia/bytes.js"
"cache-base@1.0.1","MIT","https://github.com/jonschlinkert/cache-base"
"cacheable-request@2.1.4","MIT","https://github.com/lukechilds/cacheable-request"
"call-me-maybe@1.0.1","MIT","https://github.com/limulus/call-me-maybe"
"camel-case@3.0.0","MIT","https://github.com/blakeembrey/camel-case"
"camelcase-keys@2.1.0","MIT","https://github.com/sindresorhus/camelcase-keys"
"camelcase@2.1.1","MIT","https://github.com/sindresorhus/camelcase"
"caniuse-lite@1.0.30000989","CC-BY-4.0","https://github.com/ben-eb/caniuse-lite"
"caseless@0.12.0","Apache-2.0","https://github.com/mikeal/caseless"
"caw@2.0.1","MIT","https://github.com/kevva/caw"
"chalk@1.1.3","MIT","https://github.com/chalk/chalk"
"chalk@2.3.0","MIT","https://github.com/chalk/chalk"
"chalk@2.4.2","MIT","https://github.com/chalk/chalk"
"class-utils@0.3.6","MIT","https://github.com/jonschlinkert/class-utils"
"clean-css@4.2.1","MIT","https://github.com/jakubpawlowicz/clean-css"
"cli@1.0.1","MIT","https://github.com/node-js-libs/cli"
"clone-response@1.0.2","MIT","https://github.com/lukechilds/clone-response"
"coa@2.0.2","MIT","https://github.com/veged/coa"
"coffeescript@1.10.0","MIT","https://github.com/jashkenas/coffeescript"
"collection-visit@1.0.0","MIT","https://github.com/jonschlinkert/collection-visit"
"color-convert@1.9.3","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.3","MIT","https://github.com/dfcreative/color-name"
"colors@1.1.2","MIT","https://github.com/Marak/colors.js"
"combined-stream@1.0.8","MIT","https://github.com/felixge/node-combined-stream"
"commander@2.20.0","MIT","https://github.com/tj/commander.js"
"commander@2.8.1","MIT","https://github.com/tj/commander.js"
"component-emitter@1.3.0","MIT","https://github.com/component/emitter"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map"
"concat-stream@1.6.2","MIT","https://github.com/maxogden/concat-stream"
